Source,Link,Headline,Description,Date,Timestamp,Topic,Author,Region,Article_Content,
DAWN.COM,https://www.dawn.com/news/1844836,Modi tells Putin at Kremlin 'war cannot solve problems' - World ...,09-Jul-2024 ... The Indian premier arrived in Moscow on Monday hours after strikes that hit cities across Ukraine killed at least 38 people. “I know that war ...,09-Jul-2024,2024-10-15,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1687926,Modi seeks 'talks' to stop Ukraine war - World - DAWN.COM,02-May-2022 ... Bloomberg News had reported on Sunday citing unnamed sources that Scholz was concerned over Modi's refusal to condemn Russia and India's ...,02-May-2022,2024-10-15,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1831328,"Russian, US troops at same base in Niger - World - DAWN.COM","04-May-2024 ... ... war in Ukraine. Asked about it at a news conference on Thursday, Austin said the Russian deployment did not pose a “significant issue… in ...",04-May-2024,2024-10-15,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1706545,How the Ukraine-Russia war rattled global financial markets ...,"24-Aug-2022 ... Over six months since Russia invaded Ukraine in what Moscow calls its “special military operation” thousands have been killed, millions made ...",24-Aug-2022,2024-10-15,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1833826,"Xi, Putin hail ties as 'stabilising' force in chaotic world - World ...","16-May-2024 ... China claims to be a neutral party in the Ukraine conflict, which it has never condemned and in which it has sought to frame itself as a ...",16-May-2024,2024-10-15,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1859562,"Dispatch From Washington: US, UK on Russia - Ukraine War | Dawn ...","17-Sept-2024 ... Dispatch From Washington: US, UK on Russia - Ukraine War | Dawn News English.",Unknown,2024-10-15,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1836372,World War III? - Newspaper - DAWN.COM,29-May-2024 ... THE president of Ukraine has lately devoted a great deal of his energy to soliciting international attendance at a supposed peace conference ...,29-May-2024,2024-10-15,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1859093,"Biden, Starmer defer Ukraine missiles plan to UNGA session - World ...","15-Sept-2024 ... On Saturday, Moscow and Kyiv swapped 103 prisoners of war each in a deal brokered by the United Arab Emirates. UK PM Starmer told reporters at ...",Unknown,2024-10-15,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1780111,Russia eyes return to UN rights body despite Ukraine war - World ...,"09-Oct-2023 ... Russia, which was ousted from the UN Human Rights Council after its forces invaded Ukraine, will attempt a return to the body on Tuesday.",09-Oct-2023,2024-10-15,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1818602,Germany probes possible wiretapping of secret Ukraine war talks ...,"03-Mar-2024 ... In an audio recording, German army officers can be heard discussing strikes on Crimea.",03-Mar-2024,2024-10-15,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1845034,NATO Accuses China of Supporting Russia's War in Ukraine | Dawn ...,11-Jul-2024 ... NATO Accuses China of Supporting Russia's War in Ukraine | Dawn News English.,11-Jul-2024,2024-10-15,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1844618,"Russian missiles kill 24 in Ukraine, gut Kyiv children's hospital ...",08-Jul-2024 ... We are at the threshold of a rape crisis and the reason for it is our flimsy response, it aborts justice by perpetuating stigmatisation and ...,08-Jul-2024,2024-10-15 00:02:32.819857,Ukraine War,-,Ukraine,-
DAWN.COM,https://www.dawn.com/news/1823279,Russia admits 'state of war' amid massive strikes on Ukraine - World ...,"23-Mar-2024 ... ... Ukraine's side, for us it already became a war,” Peskov said. “De ... Moscow often accuses the West of direct participation in the conflict by ...",23-Mar-2024,2024-10-15,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1840482,Kremlin derides outcome of Ukraine talks held without Russia ...,17-Jun-2024 ... Russia said on Monday that a Swiss-hosted conference on the Ukraine war had produced negligible results and showed the futility of holding talks without Moscow.,17-Jun-2024,2024-10-15,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1719142,Russia-Ukraine war: threats and opportunities for Pakistan ...,05-Nov-2022 ... Russia-Ukraine war: threats and opportunities for Pakistan | MoneyCurve | Dawn News English.,05-Nov-2022,2024-10-15,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1818076,Putin warns West of risk of nuclear war - World - DAWN.COM,"29-Feb-2024 ... President Vladimir Putin told Western countries on Thursday they risked provoking a nuclear war if they sent troops to fight in Ukraine, ...",29-Feb-2024,2024-10-15,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1853094,North Korea condemns Ukraine's incursion into Russia as act of ...,"18-Aug-2024 ... US ""pushing the situation to the brink of World War Three"", North Korea's state media says.",18-Aug-2024,2024-10-15,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1839549,Zelensky lands in Saudi Arabia on unannounced visit - World ...,"13-Jun-2024 ... Riyadh has touted its ties to both Moscow and Kyiv, positioning itself as a possible mediator in the Ukraine war.",13-Jun-2024,2024-10-15,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1821234,Putin warns the West: Russia is ready for nuclear war - World ...,13-Mar-2024 ... Warning comes alongside another offer for talks on Ukraine as part of a new post-Cold War demarcation of European security.,13-Mar-2024,2024-10-15,Ukraine War,-,Ukraine,-,
DAWN.COM,https://www.dawn.com/news/1837773,China Denies Fueling Russia-Ukraine War Tensions | Dawn News ...,04-Jun-2024 ... China Denies Fueling Russia-Ukraine War Tensions | Dawn News English.,04-Jun-2024,2024-10-15,Ukraine War,-,Ukraine,-,
