Source,Link,Headline,Description,Date,Timestamp,Topic,Author,Region,Article_Content
BBC,https://www.bbc.com/news/articles/cje2ejnwwx9o,UK accounting giant PwC faces six-month China ban,The firm is being penalised for its role in the failure of property giant Evergrande.,13 Sep 2024,2024-10-15,China News,-,China,-
BBC,https://www.bbc.com/news/articles/c62421le4j6o,China raises retirement age for first time since 1950s,"The plan, which will set in from January, has been on the cards for a few years as China's population ages.",13 Sep 2024,2024-10-15,China News,-,China,-
BBC,https://www.bbc.com/news/articles/czjyj2rd1zpo,China spent millions on this new trade route - then a war got in the way,"The BBC visits the border with Myanmar, where a war is raging on China’s doorstep.",20 Sep 2024,2024-10-15,China News,-,China,-
BBC,https://www.bbc.com/news/articles/ce9zlkz0ypyo,Row over aircons in classrooms as China swelters,Parents' calls to install air conditioners in classrooms spark a debate online.,10 Sep 2024,2024-10-15,China News,-,China,-
BBC,https://www.bbc.com/news/articles/cevjrvkm28go,Ex-CIA officer jailed for 10 years as spy for China,"Alexander Yuk Ching Ma, 71, admitted selling secrets to China while working for the CIA and FBI.",12 Sep 2024,2024-10-15,China News,-,China,-
BBC,https://www.bbc.com/news/articles/cp95mdjk95ko,Taiwan's president vows to resist 'annexation',William Lai made the comments on the self-governing island's national day address amid tensions with China.,5 days ago,2024-10-15,China News,-,China,-
BBC,https://www.bbc.com/news/articles/cn4zpy3zj7ro,Harris or Trump? What Chinese people want from US election,People in Beijing tell the BBC's Laura Bicker their hopes and fears about who will win the White House race.,1 day ago,2024-10-15,China News,-,China,-
BBC,https://www.bbc.com/news/articles/cly39yvde0go,Disabled orphans bear brunt of China's overseas adoption ban,"These kids, who make up the vast majority of those put up for adoption, face a painful wait for families.",5 days ago,2024-10-15,China News,-,China,-
BBC,https://www.bbc.com/news/articles/crl8xee75wgo,How China’s crackdown turned finance high-flyers into ‘rats’,Chinese authorities have been cracking down on businesses from real estate to technology to finance.,4 days ago,2024-10-15,China News,-,China,-
BBC,https://www.bbc.com/news/articles/crmwrpe3m3do,Uncertainty for families as China ends foreign adoptions,"Beijing has given little reason for the change, only saying it was line with international agreements.",6 Sep 2024,2024-10-15,China News,-,China,-
BBC,https://www.bbc.com/reel/video/p0jwn812/renewable-energy-is-growing-due-to-low-prices-9-oct-2024,Renewable energy is growing due to low prices - 9 Oct 2024,"IEA head says world is adding as much renewable energy by 2030 as current capacity of China, India, EU and US.",6 days ago,2024-10-15,China News,-,China,-
BBC,https://www.bbc.com/news/articles/c3e95lny0x9o,Xi Jinping is worried about the economy - what do Chinese people think?,Two new pieces of research offer a rare glimpse into how Chinese people feel about their future.,1 Oct 2024,2024-10-15,China News,-,China,-
BBC,https://www.bbc.com/news/articles/cj9jgmexmx4o,BBC boss warns of Russian and Chinese propaganda,"The UK is losing out because of cuts to the World Service, the BBC's director general warns.",13 hrs ago,2024-10-15,China News,-,China,-
BBC,https://www.bbc.com/news/articles/c0e1zjqdlp2o,Screams and chaos: Eyewitnesses describe Shanghai mall stabbings,This incident is the latest in a spate of knife attacks to hit China this year.,2 Oct 2024,2024-10-15,China News,-,China,-
BBC,https://www.bbc.com/news/articles/c9dyxpe2dy1o,Three dead and 15 hurt in Shanghai Walmart stabbing,"Police arrested a 37-year-old man at the scene, and said further investigations were continuing.",1 Oct 2024,2024-10-15,China News,-,China,-
BBC,https://www.bbc.com/sport/tennis/articles/cd98yw9g08eo,Sabalenka beats Keys to reach Beijing quarters,Aryna Sabalenka extends winning streak to 15 matches to reach the China Open quarter-finals with a straight-set victory against Madison Keys.,2 Oct 2024,2024-10-15,China News,-,China,-
BBC,https://www.bbc.com/news/articles/cdxl8j8lyjzo,Fury as Filipino officials pose with 'China spy mayor',Disgraced ex-mayor Alice Guo flashes a wide smile and the peace sign in photos with her escorts.,6 Sep 2024,2024-10-15,China News,-,China,-
BBC,https://www.bbc.com/news/articles/c9qvy913012o,Aston Martin shares shaken after profit warning,"The company, famed for its links to James Bond, has been hit by falling sales in China.",30 Sep 2024,2024-10-15,China News,-,China,-
BBC,https://www.bbc.com/news/articles/ce8vz8j60kno,Maldives president visits India amid trouble in tourist paradise,President Muizzu is visiting India at a time when his country is staring at an economic crisis.,6 Oct 2024,2024-10-15,China News,-,China,-
