Source,Link,Headline,Description,Date,Timestamp,Topic,Author,Region,Article_Content
Al Jazeera,https://www.aljazeera.com/news/liveblog/2024/4/14/israels-war-on-gaza-live-blasts-sirens-as-iranian-missiles-intercepted,Israel's war on Gaza updates: UN chief says Middle East 'on the ...,"Apr 14, 2024 ... Israelis have shot and killed four civilians in the occupied West Bank since Friday, the Palestinian Ministry of Health said in a statement on Telegram.",Last update 15 Apr 2024,2024-10-14 20:37:20.516231,Israel War,-,Middle East,-
Al Jazeera,https://www.aljazeera.com/news/2023/12/5/is-israels-war-on-gaza-also-hurting-the-climate,Is Israel's Gaza bombing also a war on the climate? | Israel ...,"Dec 5, 2023 ... From polluted water supplies to toxic smoke-filled air from burning buildings and bodies, every aspect of life in Gaza is now filled with some form of ...",Last update 5 Dec 2023,2024-10-14 20:37:20.612363,Israel War,-,Middle East,-
Al Jazeera,https://www.aljazeera.com/news/2024/4/23/by-the-numbers-200-days-of-israels-war-on-gaza,In numbers: 200 days of Israel's war on Gaza | Israel-Palestine ...,"Apr 23, 2024 ... In numbers: 200 days of Israel's war on Gaza. More than 34,000 Palestinians have been killed and vast swathes of the enclave are in ruins as ...",Last update 23 Apr 2024,2024-10-14 20:37:20.708491,Israel War,-,Middle East,-
Al Jazeera,https://www.aljazeera.com/features/2018/6/4/the-naksa-how-israel-occupied-the-whole-of-palestine-in-1967,The Naksa: How Israel occupied the whole of Palestine in 1967 ...,"Jun 4, 2018 ... In a war with Egypt, Jordan and Syria, known as the 1967 War, or the June War, Israel delivered what came to be known as the “Naksa”, meaning setback or defeat.",4 Jun 2018,2024-10-14 20:37:20.805626,Israel War,-,Middle East,-
Al Jazeera,https://www.aljazeera.com/news/2022/5/15/nakba-mapping-palestinian-villages-destroyed-by-israel-in-1948,Nakba Day: What happened in Palestine in 1948? | Israel-Palestine ...,"May 15, 2022 ... ... Israel, triggering the first Arab-Israeli war. Zionist military forces expelled at least 750,000 Palestinians from their homes and lands and ...",Last update 10 Jan 2024,2024-10-14 20:37:20.905939,Israel War,-,Middle East,-
Al Jazeera,https://www.aljazeera.com/news/liveblog/2024/9/16/israel-war-on-gaza-live-children-among-10-killed-in-gaza-city-attacks,Israel war on Gaza updates: Israeli bombardment kills dozens ...,"Sep 16, 2024 ... Deadly Israeli attacks target homes and displaced people in Gaza, killing at least 35 Palestinians, including children.",Last update 17 Sep 2024,2024-10-14 20:37:21.005826,Israel War,-,Middle East,-
Al Jazeera,https://www.aljazeera.com/news/liveblog/2024/4/13/israels-war-on-gaza-live-5-dead-dozens-injured-in-gaza-city-attack,"Israel's war on Gaza updates: Iran sends drones, missiles towards ...","Apr 13, 2024 ... Iran sends drones, missiles towards Israel. Iran says it is retaliating for Israel's bombing of its consulate in Syria earlier this month.",Last update 22 Apr 2024,2024-10-14 20:37:21.103144,Israel War,-,Middle East,-
Al Jazeera,https://www.aljazeera.com/news/2024/9/23/israel-warns-lebanon-civilians-of-air-strikes-on-hezbollah,Lebanon sees deadliest day since civil war as Israeli attacks kill 492 ...,"Sep 23, 2024 ... Lebanon sees deadliest day since civil war as Israeli attacks kill 492. Israeli warnings and air strikes on Lebanon raise fears of regional ...",Last update 23 Sep 2024,2024-10-14 20:37:21.195407,Israel War,-,Middle East,-
Al Jazeera,https://www.aljazeera.com/news/2024/8/10/us-to-send-3-5bn-more-in-military-aid-to-israel-amid-war-on-gaza,US to provide $3.5bn more in military aid to Israel amid war on Gaza ...,"Aug 10, 2024 ... US broadcast media first reported on the release of the funds, which comes from a $14.5bn supplemental funding bill for Israel passed by the ...",Last update 10 Aug 2024,2024-10-14 20:37:21.288826,Israel War,-,Middle East,-
Al Jazeera,https://www.aljazeera.com/news/2024/9/17/can-iran-restore-deterrence-against-israel-while-avoiding-an-all-out-war,Can Iran restore deterrence against Israel while avoiding an all-out ...,"Sep 17, 2024 ... Iran is trying to acquire new deterrence for a conventional war, building on the lessons it learned during its last all-out war.",17 Sep 2024,2024-10-14 20:37:21.388095,Israel War,-,Middle East,-
Al Jazeera,https://www.aljazeera.com/news/2024/9/26/abbas-slams-uss-diplomatic-support-for-israels-war-on-gaza-in-un-speech,Abbas slams US's diplomatic support for Israel's war on Gaza in UN ...,"Sep 26, 2024 ... Abbas singled out Washington, saying it continues to provide diplomatic cover and weapons to Israel despite the mounting death toll in Gaza, ...",26 Sep 2024,2024-10-14 20:37:21.498870,Israel War,-,Middle East,-
Al Jazeera,https://www.aljazeera.com/news/2024/8/28/israels-war-on-the-west-bank,Israel's war on the West Bank | Israel-Palestine conflict News | Al ...,"Aug 28, 2024 ... Israel's war on the West Bank. Continuing Israeli attack on locations across northern West Bank highlights Israel's treatment of the occupied ...",Last update 28 Aug 2024,2024-10-14 20:37:21.602060,Israel War,-,Middle East,-
Al Jazeera,https://www.aljazeera.com/features/2023/10/29/its-scary-israel-war-fears-batter-lebanons-struggling-economy,'It's scary': Israel war fears batter Lebanon's struggling economy ...,"Oct 29, 2023 ... 'It's scary': Israel war fears batter Lebanon's struggling economy. Cafes have seen an 80 percent drop in footfall; tourism is down sharply and ...",29 Oct 2023,2024-10-14 20:37:21.693183,Israel War,-,Middle East,-
Al Jazeera,https://www.aljazeera.com/news/liveblog/2024/5/6/israels-war-on-gaza-live-israel-pounds-rafah-as-truce-talks-stall,Israel's war on Gaza updates: Israel hits Rafah as Hamas accepts ...,"May 6, 2024 ... Israeli military says it is striking targets in Rafah after Hamas announces it accepted a ceasefire proposal put forward by mediators.",Last update 17 May 2024,2024-10-14 20:37:21.785721,Israel War,-,Middle East,-
