,Source,Link,Headline,Description,Date,Timestamp,Topic,Author,Region,Article_Content
234,CNN,https://www.cnn.com/2024/07/09/world/video/ukraine-children-hospital-missile-strike-ldn-digvid,CNN reporter shows impact of missile strike on Ukrainian children's hospital,CNN’s Fred Pleitgen reports from the Ukraine’s largest children’s hospital in Kyiv that was partially destroyed in a deadly missile strike.,"Jul 9, 2024",2024-10-13 13:35:14.878622,Ukraine War,Frederik Pleitgen,Ukraine,
239,CNN,https://www.cnn.com/2024/07/08/world/video/ukraine-childrens-hospital-strike-digvid,Video shows a Ukrainian children’s hospital struck by missile,"A Russian missile strike partially destroyed Ukraine’s largest children’s hospital in Kyiv, killing at least 31 people and injuring 125 others, according to Ukraine’s emergency service. ","Jul 8, 2024",2024-10-13 13:35:14.878622,Ukraine War,Unknown,Ukraine,
247,CNN,https://www.cnn.com/2024/07/03/tv/video/amanpour-carl-bildt-europe,"Russia is beginning a 'clandestine war' inside Europe, says former Swedish Prime Minister",Paula Newton asks former Swedish Prime Minister Carl Bildt about what will happen if Russia wins Ukraine and the growing far-right in Europe.,"Jul 3, 2024",2024-10-13 13:35:14.878622,Ukraine War,Unknown,Ukraine,
252,CNN,https://www.cnn.com/2024/07/01/world/video/ukraine-war-olympic-athletes-competing-paris-davies-intl-digivid,‘I don’t know if I will see him again’: Ukrainian Olympic hurdler describes heartbreak of competing during war,"400 meter hurdler Victoriia Tkachuk is one of over 100 athletes Ukraine will send to the 2024 Summer Olympics in Paris amidst a full-scale invasion of her home country by Russia. She’s leaving her brother, Ivan, behind.","Jul 3, 2024",2024-10-13 13:35:14.878622,Ukraine War,Unknown,Ukraine,
253,CNN,https://www.cnn.com/2024/07/01/tv/video/amanpour-nato-ukraine-ambassador-julianne-smith,What the US election means for Ukraine,US Ambassador to NATO Julianne Smith talks to Christiane Amanpour about what the Biden-Trump re-match could mean for NATO and Ukraine.,"Jul 1, 2024",2024-10-13 13:35:14.878622,Ukraine War,Unknown,Ukraine,
255,CNN,https://www.cnn.com/videos/sports/2024/07/01/exp-ukraine-road-to-olympics-070107aseg1-cnni-sports.cnn,World Athletics President Seb Coe visits Ukraine in road to the Olympics,Ukraine’s Olympic team will be fighting for more than just medals at Paris 2024 - after a build-up marked by war. Two-time gold medal winner and World Athletics President Seb Coe knows how hard the road to Olympic glory can be – and is ...,"Jul 1, 2024",2024-10-13 13:35:14.878622,Ukraine War,Unknown,Ukraine,
262,CNN,https://www.cnn.com/2024/06/26/tv/video/amanpour-kruscheva-gershkovich,‘All bets are off’: Nina Krushcheva on Evan Gershkovich espionage trial,The historian and great-granddaughter of former Soviet leader Nikita Krushchev says “there is really no legal system in Russia.” ,"Jun 27, 2024",2024-10-13 13:35:14.878622,Ukraine War,Unknown,Ukraine,
272,CNN,https://www.cnn.com/2024/06/21/world/video/ukraine-us-bertrand-live-062110aseg1-cnn-world-fast,Ukraine gets top priority spot for receiving U.S. air defenses,CNN National Security Correspondent Natasha Bertrand explains a key shift in U.S. policy as Kyiv gets set to skip the line of other countries waiting to receive air defense capabilities.,"Jun 21, 2024",2024-10-13 13:35:14.878622,Ukraine War,Unknown,Ukraine,
273,CNN,https://www.cnn.com/2024/06/21/world/video/chance-pkg-062112aseg2-cnni-world-fast,Russian court begins hearing treason case against U.S.-Russian citizen,"Ksenia Karelina is accused of committing treason, over a $50 donation to a Ukrainian charity. Matthew Chance reports.","Jun 21, 2024",2024-10-13 13:35:14.878622,Ukraine War,Unknown,Ukraine,
278,CNN,https://www.cnn.com/2024/06/20/world/video/beluga-whales-rescue-ukraine-abdelaziz-intl-cprog-digvid,A pair of whales were rescued out of Ukraine. See their journey,"Two beluga whales, 15-year-old Plombir and 14-year-old Miranda, have been rescued from Kharkiv, Ukraine. The pair were taken to an aquarium in Valencia, Spain in a complex operation that saw them travel out of a war zone and across ...","Jun 21, 2024",2024-10-13 13:35:14.878622,Ukraine War,Unknown,Ukraine,
279,CNN,https://www.cnn.com/2024/06/20/sport/video/ukranian-soldiers-national-soccer-team-spt-ldn-digvid,Ukrainian soldiers cheer on national soccer team from the frontline,"On June 17, Ukrainian soldiers from the frontline sat down to watch the national soccer team play in their Euro 2024 opening match against Romania where Ukraine lost 3-0.","Jun 20, 2024",2024-10-13 13:35:14.878622,Ukraine War,Unknown,Ukraine,
281,CNN,https://www.cnn.com/2024/06/19/world/video/amanpour-sue-mi-terry-putin-north-korea-intw-fst-06191pseg1-cnni-world-fast,"‘Putin is very desperate’, says former CIA Senior Analyst",Bianna Golodryga speaks to former CIA Senior Analyst Sue Mi Terry about Vladimir Putin’s trip to North Korea.,"Jun 20, 2024",2024-10-13 13:35:14.878622,Ukraine War,Unknown,Ukraine,
284,CNN,https://www.cnn.com/2024/06/19/world/video/kharkiv-russia-setbacks-pleitgen-pkg-061901aseg2-cnni-world-fast,Ukraine pouring troops into contested Kharkiv region,"Moscow’s military launched a surprise offensive targeting the North East of Ukraine earlier this year, destroying a key town and gaining a foothold not far from the second largest city, Kharkiv. But CNN’s Fred Pleitgen reports, the Ukrainians ...","Jun 19, 2024",2024-10-13 13:35:14.878622,Ukraine War,Unknown,Ukraine,
