Source,Link,Headline,Description,Date,Timestamp,Topic,Author,Region,Article_Content
BBC,https://www.bbc.com/news/articles/cp392q40dnxo,New funding scheme for Ukrainian refugees,"Funding of up to £2,000 is now available to community organisations to help Ukrainians resettle.",5 days ago,2024-10-14 18:25:54.996444,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/ckg9lk4pz7vo,Ukraine says nine killed in Russia strikes on hospital,"Officials say Sumy's hospital was hit in the morning, and was struck again as rescuers were evacuating people.",28 Sep 2024,2024-10-14 18:25:55.105700,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/c80rjxl7le1o,Fighting Russia - and low morale - on Ukraine's ‘most dangerous front line’,The BBC visits a key city under attack by Russia and finds eroded morale among its few remaining residents.,16 hrs ago,2024-10-14 18:25:55.219522,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/cp8e15yr1gwo,"Russia on mission to cause mayhem on UK streets, warns MI5","In a wide-ranging speech, Ken McCallum also revealed MI5 had responded to 20 plots backed by Iran since 2022.",6 days ago,2024-10-14 18:26:05.353459,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/c8xevlyxpgxo,Ukrainian who fled alone at 16 focuses on degree,Yulianna Skakun starts her course this week at the University of Northampton.,29 Sep 2024,2024-10-14 18:26:05.463870,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/cp9580kgp09o,"No imminent nuclear threat from Russia, says new Nato chief","Mark Rutte slammed the Kremlin's ""reckless and irresponsible"" rhetoric but downplayed Russia's nuclear threats.",1 Oct 2024,2024-10-14 18:26:05.571918,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/videos/cn5zypyv4gqo,Ros Atkins on... Why the US election is crucial to Ukraine,The BBC's analysis editor looks at why Volodymyr Zelensky is presenting his 'victory plan' to US political leaders.,27 Sep 2024,2024-10-14 18:26:05.681334,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/cn4zpy3zj7ro,Harris or Trump? What Chinese people want from US election,People in Beijing tell the BBC's Laura Bicker their hopes and fears about who will win the White House race.,12 hrs ago,2024-10-14 18:26:05.792381,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/c07n811zyp2o,Zelensky looks to Biden to back Ukraine 'victory plan',Kyiv is hoping for a strong show of support from the US leader before he leaves the White House.,25 Sep 2024,2024-10-14 18:26:05.911923,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/cy0g29w45p1o,"Ukrainian journalist, 27, who chronicled Russian occupation dies in prison",Viktoriia Roshchyna had been detained last year while reporting in Russian-occupied Ukraine.,2 days ago,2024-10-14 18:26:06.026189,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/cjr3yey88jzo,Bomb disposal expert receives Ukrainian award,Ben Remfrey has been clearing mines and other ordinances in the country throughout the war.,24 Sep 2024,2024-10-14 18:26:06.139581,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/c20mz0l36gjo,"Russia planning to target nuclear plants, Zelensky says","Ukraine's president warns the UN about the possibility of ""nuclear disaster"".",25 Sep 2024,2024-10-14 18:26:06.251205,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/c07n811zyp2o,Zelensky looks to Biden to back Ukraine 'victory plan',Kyiv is hoping for a strong show of support from the US leader before he leaves the White House.,25 Sep 2024,2024-10-14 18:26:12.309584,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/c5y30244467o,"Zelensky to present 'victory plan' to Biden, Harris and Trump",The Ukrainian leader is due to meet the US president before attending the UN General Assembly.,23 Sep 2024,2024-10-14 18:26:12.421019,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/c5y9lg50gndo,"Biden was right to stand aside in critical election, Clinton says","The former presidential hopeful tells the BBC ""the future of democracy is at stake"" in November's vote.",30 Sep 2024,2024-10-14 18:26:12.537244,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/c20mz0l36gjo,"Russia planning to target nuclear plants, Zelensky says","Ukraine's president warns the UN about the possibility of ""nuclear disaster"".",25 Sep 2024,2024-10-14 18:26:12.667847,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/c5yjej0rvw0o,Putin proposes new rules for using nuclear weapons,Russia's leader says strikes by a non-nuclear state aided by a nuclear power can be considered a joint attack,26 Sep 2024,2024-10-14 18:26:12.818232,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/cx250ygn9ddo,Oil price rise comes at a critical point,Any extended rise raises the possibility of higher petrol prices and gas and electricity bills.,3 Oct 2024,2024-10-14 18:26:12.940629,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/cr7582l4015o,War with Russia closer to end than we think - Zelensky,"The Ukrainian president says his country has to be ""very strong"" to push Russia to the negotiating table.",24 Sep 2024,2024-10-14 18:26:13.095154,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/c80rkv0k4j8o,Republican anger clouds Zelensky-Biden 'victory plan' meeting,"Ukraine's leader was due at the White House, while a feud escalated over a trip to an arms factory.",27 Sep 2024,2024-10-14 18:26:13.231653,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/c8xedpgkn1do,Town sends fifth ambulance to Ukraine,The ambulance full of medical supplies is on its way to frontline military paramedics.,7 days ago,2024-10-14 18:26:13.376918,Ukraine War,-,Ukraine,-
BBC,https://www.bbc.com/news/articles/c1d5667951wo,Ukrainian refugees perform with homeland orchestra,The concert aims to share Ukrainian culture and music with communities across the West Midlands.,5 days ago,2024-10-14 18:26:21.289567,Ukraine War,-,Ukraine,-
