Source,Link,Headline,Description,Date,Timestamp,Topic,Author,Region,Article_Content
BBC,https://www.bbc.com/news/videos/cx2m8z52y5zo,BBC finds Lebanese seaside city deserted after Israeli attacks,Correspondent Orla Guerin reports on airstrikes and evacuations in the southern city of Tyre.,25 Sep 2024,2024-10-14 18:28:10.105756,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/c8rd5z17px4o,Israel orders 45-day closure of Al Jazeera West Bank office,"The network, which Israel has called a threat to its security, broadcast the operation live.",22 Sep 2024,2024-10-14 18:28:10.201426,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/cvgdn8y89jeo,"Israeli arrested over Iran plot to kill Netanyahu, Israeli security services say","They say the man was twice smuggled into Iran and had been paid to carry out ""missions"".",19 Sep 2024,2024-10-14 18:28:16.570790,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/c4gd393llg7o,Israel and Hezbollah urged to step back as UN warns of 'catastrophe',"Israel says it will continue military action, as the UN chief raises the risk of Lebanon becoming ""another Gaza"".",23 Sep 2024,2024-10-14 18:28:16.669321,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/crl8xw7ww70o,'We just had to flee': Fear and tension in Lebanon under deadly Israeli bombardment,Thousands have fled southern Lebanon while others say they are leaving the capital Beirut.,24 Sep 2024,2024-10-14 18:28:16.763860,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/c5y8gv1d8j8o,"One week on, how the Lebanon attacks have changed the Middle East",David Aaronovitch asks why the operation was carried out - and what we can expect in the weeks ahead.,24 Sep 2024,2024-10-14 18:28:16.841079,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/videos/clyl8gxxm9lo,"Watch: BBC visits Beirut school sheltering 1,000 people","As Israel continues to bombard southern Lebanon, thousands of civilians are fleeing their homes.",24 Sep 2024,2024-10-14 18:28:16.939291,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/crl8kelkxepo,"Death toll from Israeli strike on Beirut rises to 37, Lebanon's health ministry says",Lebanon's health minister says women and children are among the dead as rescuers search through rubble.,21 Sep 2024,2024-10-14 18:28:17.029261,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/cpw5yyjx75po,'Israel steps up attacks' and Badenoch 'sparks maternity pay row',Monday's front pages are dominated by reports of Israel's air strikes on Yemen and its offensive against Hezbollah in Lebanon.,30 Sep 2024,2024-10-14 18:28:17.117392,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/cz04n1kg1d4o,Trump and Harris are deadlocked - could an October surprise change the game?,"With one month to go, any unexpected event could help sway this close race for the White House.",6 Oct 2024,2024-10-14 18:28:17.207321,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/videos/c8j7134jjj0o,'A very dangerous and delicate moment for Lebanon',BBC Middle East Correspondent Hugo Bachega reports from Beirut as the IDF says it has killed the Hezbollah leader.,28 Sep 2024,2024-10-14 18:28:17.297714,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/cr4x6dwqlxgo,"Israel strike kills 22 in Gaza school, says Hamas-run health ministry","Israel says it hit a Hamas command centre, while Palestinian officials said most killed were women and children.",21 Sep 2024,2024-10-14 18:28:26.172446,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/videos/cdjeyg38vzmo,Hezbollah rockets hit residential areas in Israel,"A barrage of rockets was fired into northern Israel from Lebanon overnight, landing much deeper into Israel than in previous attacks.",22 Sep 2024,2024-10-14 18:28:26.266173,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/videos/cm28l6pnmxko,Analysing videos showing strikes that killed Nasrallah,How the BBC worked out the facts about blasts in Lebanon's capital from clues in social media footage.,29 Sep 2024,2024-10-14 18:28:26.372025,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/cwyl8v1z1zeo,Israel says 100 Hezbollah rocket launchers hit in Lebanon,Extensive Israeli air strikes come after Hezbollah vowed to retaliate over deadly exploding device attacks blamed on Israel.,20 Sep 2024,2024-10-14 18:28:26.456276,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/c5y9wyy9pr2o,Top Hezbollah commanders killed in Israeli strike on Beirut,"The strike in Lebanon's capital, which killed at least 31 people, adds to fears of an all-out war.",21 Sep 2024,2024-10-14 18:28:26.549397,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/cly65d0l009o,No plans to remove Irish peacekeepers from Lebanon,The Irish Defence Forces have 382 personnel serving between the United Nations missions in the region.,25 Sep 2024,2024-10-14 18:28:26.637316,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/c89l11v4k8wo,Emergency deal fails to get toddler out of Lebanon,Fresh orders were granted by the High Court on Wednesday in an effort to get the Belfast toddler home.,3 Oct 2024,2024-10-14 18:28:26.713800,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/c5y8emq35y1o,Pregnant British woman's 'guilt' over fleeing Lebanon,"Alla Ghalayini, who arrived in London on Sunday, says she can ""still hear the bombs"" from Israeli air strikes.",29 Sep 2024,2024-10-14 18:28:26.788553,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/cgj450zpx6no,Evicted pro-Palestinian camp relocates to park,The campaign continues at Sheffield's Weston Park after protesters were evicted from the university.,23 Sep 2024,2024-10-14 18:28:26.882218,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/c79n1v4d203o,Hezbollah leader says exploding device attacks crossed 'all red lines',"Hassan Nasrallah calls the killing of 37 people by exploding pagers and radios an ""unprecedented blow"".",20 Sep 2024,2024-10-14 18:28:37.910243,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/c8dj1743nd6o,Mum fears for Belfast toddler who won’t be leaving Lebanon,The BBC speaks to a father in Beirut after the High Court rules his son should be returned to his mother in Belfast.,2 Oct 2024,2024-10-14 18:28:38.014332,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/cn8jg0x5xg8o,Israel investigates after its soldiers filmed throwing bodies off roof,"The IDF says the incident does not ""conform"" to its values, while Palestinian officials say it is a ""crime"".",20 Sep 2024,2024-10-14 18:28:38.112820,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/cz9p1vyne8xo,British nationals tell of 'surreal' Lebanon evacuation,"Student Isobel Taper says it feels ""surreal"" being back in the UK, having left her boyfriend and cats in Beirut.",3 Oct 2024,2024-10-14 18:28:38.209339,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/cly2rglnn42o,"'Send us a plane', Britons in Lebanon urge PM",More Britons in Lebanon tell the BBC about the increasingly desperate situation there as war looms.,27 Sep 2024,2024-10-14 18:28:38.301726,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/czrm4yxpr3xo,'Extreme voices should not be the only voices',"The women shared their feelings of 'exhaustion, pain and suffering' but also 'hope and gratitude'.",7 days ago,2024-10-14 18:28:38.388779,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/c3vkw7vg727o,Irish president accuses Israeli embassy of Iran letter leak,Michael D. Higgins made the comments at the United Nations in New York on Sunday.,23 Sep 2024,2024-10-14 18:28:38.484767,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/cg78j4ky5xyo,Africans in Lebanon: ‘Everyone is nervous on campus’,Africans studying in Beirut are having to weigh up whether or not they should leave the country.,1 Oct 2024,2024-10-14 18:28:38.587558,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/cvg3lm436jlo,Hezbollah pager explosions highlight shadow war,Israel is suspected of behind a fatal explosion of handheld pagers used by the armed group in Lebanon.,18 Sep 2024,2024-10-14 18:28:38.656563,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/cvglk3d3242o,'I felt my heart was going to stop': At the scene of an IDF strike in Beirut,"An apparent attempted assassination tore through a Beirut tower block, far from Hezbollah's base.",5 Oct 2024,2024-10-14 18:28:46.756507,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/ce9jglrnmkvo,Second wave of Lebanon device explosions kills 20 and wounds 450,Walkie-talkies used by Hezbollah blow up a day after pager blasts killed 12 people.,19 Sep 2024,2024-10-14 18:28:46.839465,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/c5y8mlp9jyvo,Cold military logic takes over in Israel-Hezbollah conflict,"Israel’s campaign is a high-risk strategy, in which Hezbollah’s ability to respond cannot be ignored.",23 Sep 2024,2024-10-14 18:28:46.939654,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/cgk7nnr0y06o,'You must leave now' PM tells Britons in Lebanon,"The situation in the Middle East is ""extremely volatile"" and Britons must leave Lebanon now, the prime minister warns.",2 Oct 2024,2024-10-14 18:28:47.037046,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/c5yjqj1ngy7o,Israel prepares for Lebanon 'push' and Starmer's penthouse stay,Reports on the possible entry of Israeli troops into Lebanon dominate Thursday's front pages.,26 Sep 2024,2024-10-14 18:28:47.123257,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/ckgnl2k53glo,"Eurovision failed to support us amid rows, winner says",Swiss singer Nemo says tensions over Israel's participation overshadowed the song contest in May.,5 days ago,2024-10-14 18:28:47.224826,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/c05g0q3nvz6o,Family of Scottish Hamas victim are 'missing a great man',"The sister of Bernard Cowan hopes peace will come to the Middle East, one year after his murder.",7 days ago,2024-10-14 18:28:47.316998,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/cd7xnelvpepo,Hezbollah blames Israel after pager explosions kill nine and injure thousands in Lebanon,"Nine people have been killed and 2,800 wounded by the blasts, the Lebanese health ministry says.",18 Sep 2024,2024-10-14 18:28:47.422273,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/c23k2j2x5mjo,"Palestinian woman wins £30,000 LGBTQ+ film award","The festival says this year's filmmakers ""have focused on the more serious aspect of LGBTQ+ life"".",2 days ago,2024-10-14 18:28:47.522475,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/cpw5rqzz5jjo,Pager explosions will devastate Hezbollah's morale and manpower,"Tuesday's blasts, which Hezbollah blames on Israel, look calculated to sow fear and confusion.",17 Sep 2024,2024-10-14 18:28:56.343120,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/cy5y23qgx0qo,Japanese atomic bomb survivors win Nobel Peace Prize,"Nihon Hidankyo, a group of survivors of Hiroshima and Nagasaki, is recognised for its work to rid the world of nuclear weapons.",3 days ago,2024-10-14 18:28:56.444073,Israel War,-,Middle East,-
BBC,https://www.bbc.com/news/articles/cx2kn10xxldo,Death toll from Hezbollah pager explosions in Lebanon rises to 12,Lebanon’s health minister said two children and several healthcare workers were among the dead.,18 Sep 2024,2024-10-14 18:28:56.541135,Israel War,-,Middle East,-
